feature,mean_native_like,mean_non_native,delta_native_minus_non
term_constraint,,58.90440948963556,
term_sasa,,71.29688752404776,
term_hbond,,-10.98785312626183,
term_electrostatics,,15.904052273552093,
term_disulfide,,0.0,
term_vdw_repulsion,,98.17067509320982,
term_rotamer,,4.936949510941518,
term_pi_stacking,,-6.54369358534618,
term_rama,,-14.41600288969695,
term_geometry,,0.5883034527713572,
term_geom_pro_ring,,0.5883034527713572,
term_geom_chirality,,0.0,
term_geom_planarity,,0.0,
term_burial_mean,,0.9855965883789801,
term_burial_min,,0.7265067272810546,
term_burial_max,,1.0,
term_neighbor_mean,,37.123148357127164,
term_neighbor_min,,18.162668182026366,
term_neighbor_max,,58.57377040657544,
energy,,217.85372774285324,
