energy_rank,energy,depth,term_constraint,term_sasa,term_hbond,term_electrostatics,term_disulfide,term_vdw_repulsion,term_rotamer,term_pi_stacking,term_rama,term_geometry,term_geom_pro_ring,term_geom_chirality,term_geom_planarity,term_burial_mean,term_burial_min,term_burial_max,term_neighbor_mean,term_neighbor_min,term_neighbor_max,term_total,angles_deg_json,rmsd_to_reference_A,pred_e2e_A,pred_rg_A,ref_e2e_A,ref_rg_A,native_like
1,221.2509367703734,10,42.33151535893068,110.49988082055056,-17.442595245445528,21.174478671973823,0.0,96.62454875608833,-11.005748399447313,-7.095054061129266,-14.424392583434608,0.5883034522867087,0.5883034522867087,0.0,0.0,0.9553535835068483,0.555120940941565,1.0,40.68008130045955,19.429232932954775,64.00079649688071,221.2509367703734,"[-59.99999999999999, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -45.0, -59.99999999999999, 0.0, -59.99999999999999, -59.99999999999999, -59.99999999999999, 0.0, 0.0, -165.0, 119.99999999999999, -59.99999999999999, 0.0, 0.0, 90.0, 59.99999999999999, 180.0, 0.0, 0.0, 0.0, -45.0, 90.0, -90.0, -45.0, 180.0, 0.0, 0.0, 0.0, 90.0, 75.0, 180.0, 0.0, -29.999999999999996, -45.0, 180.0, 0.0, 0.0]",3.0205698654552604,8.409691233066859,4.570129612534206,5.508595556037851,4.848916770784997,False
2,221.42787218869327,10,42.33151535893068,110.49988082055056,-17.442595245445528,21.174478671973823,0.0,96.62454875608833,-11.005748399447313,-7.095054061129266,-14.247457165114712,0.5883034522867087,0.5883034522867087,0.0,0.0,0.9553535835068483,0.555120940941565,1.0,40.68008130045955,19.429232932954775,64.00079649688071,221.42787218869327,"[-45.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -45.0, -59.99999999999999, 0.0, -59.99999999999999, -59.99999999999999, -59.99999999999999, 0.0, 0.0, -165.0, 119.99999999999999, -59.99999999999999, 0.0, 0.0, 90.0, 59.99999999999999, 180.0, 0.0, 0.0, 0.0, -45.0, 90.0, -90.0, -45.0, 180.0, 0.0, 0.0, 0.0, 90.0, 75.0, 180.0, 0.0, -29.999999999999996, -45.0, 180.0, 0.0, 0.0]",3.0205698654552604,8.409691233066859,4.570129612534206,5.508595556037851,4.848916770784997,False
3,221.4344296251557,10,42.33151535893068,110.49988082055056,-17.442595245445528,21.174478671973823,0.0,96.62454875608833,-11.005748399447313,-7.095054061129266,-14.2408997286523,0.5883034522867087,0.5883034522867087,0.0,0.0,0.9553535835068483,0.555120940941565,1.0,40.68008130045955,19.429232932954775,64.00079649688071,221.4344296251557,"[-59.99999999999999, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -45.0, -59.99999999999999, 0.0, -59.99999999999999, -59.99999999999999, -59.99999999999999, 0.0, 0.0, -165.0, 119.99999999999999, -59.99999999999999, 0.0, 0.0, 90.0, 59.99999999999999, 180.0, 0.0, 0.0, 0.0, -45.0, 90.0, -90.0, -45.0, 180.0, 0.0, 0.0, 0.0, 90.0, 75.0, 180.0, 0.0, -29.999999999999996, -59.99999999999999, 180.0, 0.0, 0.0]",3.0205698654552604,8.409691233066859,4.570129612534206,5.508595556037851,4.848916770784997,False
4,221.5280649492866,10,42.33151535893068,110.49988082055056,-17.442595245445528,21.174478671973823,0.0,96.62454875608833,-11.005748399447313,-7.095054061129266,-14.147264404521408,0.5883034522867087,0.5883034522867087,0.0,0.0,0.9553535835068483,0.555120940941565,1.0,40.68008130045955,19.429232932954775,64.00079649688071,221.5280649492866,"[-59.99999999999999, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -45.0, -59.99999999999999, 0.0, -59.99999999999999, -59.99999999999999, -59.99999999999999, 0.0, 0.0, -165.0, 119.99999999999999, -59.99999999999999, 0.0, 0.0, 90.0, 59.99999999999999, 180.0, 0.0, 0.0, 0.0, -45.0, 90.0, -90.0, -45.0, 180.0, 0.0, 0.0, 0.0, 90.0, 75.0, 180.0, 0.0, -29.999999999999996, -29.999999999999996, 180.0, 0.0, 0.0]",3.0205698654552604,8.409691233066859,4.570129612534206,5.508595556037851,4.848916770784997,False
5,221.6113650434756,10,42.33151535893068,110.49988082055056,-17.442595245445528,21.174478671973823,0.0,96.62454875608833,-11.005748399447313,-7.095054061129266,-14.063964310332404,0.5883034522867087,0.5883034522867087,0.0,0.0,0.9553535835068483,0.555120940941565,1.0,40.68008130045955,19.429232932954775,64.00079649688071,221.6113650434756,"[-45.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -45.0, -59.99999999999999, 0.0, -59.99999999999999, -59.99999999999999, -59.99999999999999, 0.0, 0.0, -165.0, 119.99999999999999, -59.99999999999999, 0.0, 0.0, 90.0, 59.99999999999999, 180.0, 0.0, 0.0, 0.0, -45.0, 90.0, -90.0, -45.0, 180.0, 0.0, 0.0, 0.0, 90.0, 75.0, 180.0, 0.0, -29.999999999999996, -59.99999999999999, 180.0, 0.0, 0.0]",3.0205698654552604,8.409691233066859,4.570129612534206,5.508595556037851,4.848916770784997,False
6,221.7050003676065,10,42.33151535893068,110.49988082055056,-17.442595245445528,21.174478671973823,0.0,96.62454875608833,-11.005748399447313,-7.095054061129266,-13.970328986201512,0.5883034522867087,0.5883034522867087,0.0,0.0,0.9553535835068483,0.555120940941565,1.0,40.68008130045955,19.429232932954775,64.00079649688071,221.7050003676065,"[-45.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -45.0, -59.99999999999999, 0.0, -59.99999999999999, -59.99999999999999, -59.99999999999999, 0.0, 0.0, -165.0, 119.99999999999999, -59.99999999999999, 0.0, 0.0, 90.0, 59.99999999999999, 180.0, 0.0, 0.0, 0.0, -45.0, 90.0, -90.0, -45.0, 180.0, 0.0, 0.0, 0.0, 90.0, 75.0, 180.0, 0.0, -29.999999999999996, -29.999999999999996, 180.0, 0.0, 0.0]",3.0205698654552604,8.409691233066859,4.570129612534206,5.508595556037851,4.848916770784997,False
7,221.95026577053181,10,42.33151535893068,110.49988082055056,-17.442595245445528,21.174478671973823,0.0,96.62454875608833,-11.005748399447313,-7.095054061129266,-13.725063583276167,0.5883034522867087,0.5883034522867087,0.0,0.0,0.9553535835068483,0.555120940941565,1.0,40.68008130045955,19.429232932954775,64.00079649688071,221.95026577053181,"[-59.99999999999999, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -45.0, -59.99999999999999, 0.0, -59.99999999999999, -59.99999999999999, -59.99999999999999, 0.0, 0.0, -165.0, 119.99999999999999, -59.99999999999999, 0.0, 0.0, 90.0, 59.99999999999999, 180.0, 0.0, 0.0, 0.0, -45.0, 90.0, -90.0, -45.0, 180.0, 0.0, 0.0, 0.0, 90.0, 75.0, 180.0, 0.0, -29.999999999999996, -75.0, 180.0, 0.0, 0.0]",3.0205698654552604,8.409691233066859,4.570129612534206,5.508595556037851,4.848916770784997,False
8,222.12720118885173,10,42.33151535893068,110.49988082055056,-17.442595245445528,21.174478671973823,0.0,96.62454875608833,-11.005748399447313,-7.095054061129266,-13.548128164956271,0.5883034522867087,0.5883034522867087,0.0,0.0,0.9553535835068483,0.555120940941565,1.0,40.68008130045955,19.429232932954775,64.00079649688071,222.12720118885173,"[-45.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -45.0, -59.99999999999999, 0.0, -59.99999999999999, -59.99999999999999, -59.99999999999999, 0.0, 0.0, -165.0, 119.99999999999999, -59.99999999999999, 0.0, 0.0, 90.0, 59.99999999999999, 180.0, 0.0, 0.0, 0.0, -45.0, 90.0, -90.0, -45.0, 180.0, 0.0, 0.0, 0.0, 90.0, 75.0, 180.0, 0.0, -29.999999999999996, -75.0, 180.0, 0.0, 0.0]",3.0205698654552604,8.409691233066859,4.570129612534206,5.508595556037851,4.848916770784997,False
9,222.12888764433546,10,42.33151535893068,110.49988082055056,-17.442595245445528,21.174478671973823,0.0,96.62454875608833,-11.005748399447313,-7.095054061129266,-13.546441709472518,0.5883034522867087,0.5883034522867087,0.0,0.0,0.9553535835068483,0.555120940941565,1.0,40.68008130045955,19.429232932954775,64.00079649688071,222.12888764433546,"[-59.99999999999999, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -45.0, -59.99999999999999, 0.0, -59.99999999999999, -59.99999999999999, -59.99999999999999, 0.0, 0.0, -165.0, 119.99999999999999, -59.99999999999999, 0.0, 0.0, 90.0, 59.99999999999999, 180.0, 0.0, 0.0, 0.0, -45.0, 90.0, -90.0, -45.0, 180.0, 0.0, 0.0, 0.0, 90.0, 75.0, 180.0, 0.0, -29.999999999999996, -14.999999999999998, 180.0, 0.0, 0.0]",3.0205698654552604,8.409691233066859,4.570129612534206,5.508595556037851,4.848916770784997,False
10,222.30582306265538,10,42.33151535893068,110.49988082055056,-17.442595245445528,21.174478671973823,0.0,96.62454875608833,-11.005748399447313,-7.095054061129266,-13.369506291152621,0.5883034522867087,0.5883034522867087,0.0,0.0,0.9553535835068483,0.555120940941565,1.0,40.68008130045955,19.429232932954775,64.00079649688071,222.30582306265538,"[-45.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -59.99999999999999, 180.0, 0.0, 0.0, -75.0, -45.0, -59.99999999999999, 0.0, -59.99999999999999, -59.99999999999999, -59.99999999999999, 0.0, 0.0, -165.0, 119.99999999999999, -59.99999999999999, 0.0, 0.0, 90.0, 59.99999999999999, 180.0, 0.0, 0.0, 0.0, -45.0, 90.0, -90.0, -45.0, 180.0, 0.0, 0.0, 0.0, 90.0, 75.0, 180.0, 0.0, -29.999999999999996, -14.999999999999998, 180.0, 0.0, 0.0]",3.0205698654552604,8.409691233066859,4.570129612534206,5.508595556037851,4.848916770784997,False
