ensemble_id,init_type,energy_rank,energy,rmsd_to_reference_A,pred_e2e_A,pred_rg_A,ref_e2e_A,ref_rg_A
1,random,1,305.77192794532573,3.0358859935079985,5.593570582117955,5.498759735724493,5.508595556037851,4.848916770784997
2,random,2,305.77192794532573,3.0358859935079985,5.593570582117955,5.498759735724493,5.508595556037851,4.848916770784997
3,random,3,305.77192794532573,3.0358859935079985,5.593570582117955,5.498759735724493,5.508595556037851,4.848916770784997
4,random,4,305.77192794532573,3.0358859935079985,5.593570582117955,5.498759735724493,5.508595556037851,4.848916770784997
5,random,5,305.77192794532573,3.0358859935079985,5.593570582117955,5.498759735724493,5.508595556037851,4.848916770784997
6,random,6,305.77192794532573,3.0358859935079985,5.593570582117955,5.498759735724493,5.508595556037851,4.848916770784997
7,random,7,305.77192794532573,3.0358859935079985,5.593570582117955,5.498759735724493,5.508595556037851,4.848916770784997
8,random,8,305.77192794532573,3.0358859935079985,5.593570582117955,5.498759735724493,5.508595556037851,4.848916770784997
9,random,9,305.77192794532573,3.0358859935079985,5.593570582117955,5.498759735724493,5.508595556037851,4.848916770784997
0,random,10,316.30207683423873,2.8926325984258274,5.554999055825873,5.627400650494196,5.508595556037851,4.848916770784997
