feature,pearson_r,spearman_r
term_geometry,-0.7373780615031842,-0.6567405453886733
term_geom_pro_ring,-0.7373780615031842,-0.6567405453886733
term_electrostatics,-0.2601316782726334,-0.29476128881426805
term_pi_stacking,-0.30970939209129933,-0.2623423105549469
term_sasa,-0.22214165836582583,-0.21441740299882187
term_vdw_repulsion,0.013328021544208191,-0.0714835239697856
energy,0.00027368625013263757,-0.02050316867102716
term_vdw_attractive,-0.09156399870796776,-0.012618834006868598
term_neighbor_max,-0.009700132019194509,0.0026091376657683242
term_rotamer,0.404027008093155,0.13011028610096811
term_neighbor_mean,0.20154301193056898,0.16053548441233254
term_constraint,-0.005707481592281231,0.16760296744944764
term_burial_mean,0.2221416583658258,0.21441740299882187
term_rama,0.42079536837009024,0.42978110366639144
term_burial_min,0.3384723317510502,0.5173114294308572
term_neighbor_min,0.33847233175104985,0.5173114294308572
term_hbond_raw,0.5758268269832676,0.5842220828172996
term_hbond,0.5758268269832673,0.5842220828172996
term_disulfide,,
term_geom_chirality,,
term_geom_planarity,,
term_burial_max,,
