feature,pearson_r,spearman_r
term_sasa,-0.4213897846061746,-0.39140268775121756
term_vdw_attractive,-0.06794265636024692,-0.15673953016564166
term_rotamer,-0.0012613801287330597,-0.028414255340005686
term_geometry,-0.06920358978761423,0.01358124573655282
term_geom_pro_ring,-0.06920358978761423,0.01358124573655282
term_constraint,0.03541601335175249,0.09563280941461957
term_hbond_raw,0.12488648369274163,0.16714485542529883
term_hbond,0.12488648369274237,0.16714485542529883
term_vdw_repulsion,0.22789050114239737,0.18141262857009652
term_electrostatics,0.07484920543154085,0.1964799272654234
energy,0.24911280017551485,0.2365688881510778
term_neighbor_max,0.48821540634342087,0.38694506333145956
term_burial_mean,0.42138978460617676,0.39140268775121756
term_neighbor_min,0.5075495494718584,0.4204305278489715
term_burial_min,0.5075495494718583,0.4204305278489715
term_neighbor_mean,0.5850097293345653,0.4679214880812887
term_rama,0.5626823077728197,0.5671747535610803
term_disulfide,,
term_pi_stacking,,
term_geom_chirality,,
term_geom_planarity,,
term_burial_max,,
