hbond_scale,sasa_scale,vdw_rep_scale,vdw_attr_scale,n_proteins,mean_best_rmsd,median_best_rmsd,mean_best_energy_rmsd,median_best_energy_rmsd,mean_ranking_gap,median_ranking_gap,mean_native_rebuild,score
1.0,0.6,0.1,0.1,3,4.067973739558286,4.8531262871186,4.175673758511056,4.8531262871186,0.10770001895277097,0.059882532649164766,0.5441009893559545,4.283373777463828
0.6,0.6,0.1,0.1,3,3.798953142756004,4.447439337966653,4.186004704811875,4.576702465188334,0.3870515620558714,0.1292631272216811,0.5441009893559545,4.573056266867747
0.75,0.7,0.1,0.1,3,3.7874667275876472,4.445673616136651,4.293878520214764,4.576702465188334,0.5064117926271162,0.2186953256997013,0.5441009893559545,4.80029031284188
0.75,0.6,0.1,0.1,3,3.7983645688126706,4.445673616136651,4.335179903237201,5.024228060464309,0.5368153344245302,0.5785544443276578,0.5441009893559545,4.871995237661731
0.75,0.6,0.1,0.15,3,3.7983645688126706,4.445673616136651,4.335179903237201,5.024228060464309,0.5368153344245302,0.5785544443276578,0.5441009893559545,4.871995237661731
0.75,0.7,0.1,0.15,3,3.848096854071066,4.445673616136651,4.439546002461939,4.576702465188334,0.5914491483908731,0.4738073929909721,0.5441009893559545,5.030995150852812
0.6,0.8,0.1,0.1,3,4.022325677893048,4.447439337966653,4.608966402523904,4.606301826506934,0.5866407246308549,0.44263895954789856,0.5441009893559545,5.195607127154758
0.6,0.7,0.05,0.15,3,3.929320132360907,4.445673616136651,4.629380917208868,5.104207065848606,0.7000607848479615,0.658533449711955,0.5441009893559545,5.32944170205683
0.6,0.7,0.05,0.1,3,3.927028815494149,4.445673616136651,4.629380917208868,5.104207065848606,0.7023521017147193,0.658533449711955,0.5441009893559545,5.331733018923588
0.6,0.6,0.05,0.15,3,3.911380072218899,4.445673616136651,4.629380917208868,5.104207065848606,0.7180008449899691,0.658533449711955,0.5441009893559545,5.347381762198838
