feature,mean_native_like,mean_non_native,delta_native_minus_non
term_constraint,,0.3087868390648903,
term_sasa,,7.306770755286516,
term_hbond,,-39.61920051045899,
term_electrostatics,,15.866830625451339,
term_disulfide,,0.0,
term_vdw_repulsion,,112.24086624706199,
term_rotamer,,4.936949510941518,
term_pi_stacking,,-10.456706544221285,
term_rama,,-13.527587280327142,
term_geometry,,0.5883034527713572,
term_geom_pro_ring,,0.5883034527713572,
term_geom_chirality,,0.0,
term_geom_planarity,,0.0,
term_burial_mean,,0.9985238846959017,
term_burial_min,,0.9653748968413948,
term_burial_max,,1.0,
term_neighbor_mean,,40.01543640369852,
term_neighbor_min,,24.927248341594517,
term_neighbor_max,,58.04896916054116,
energy,,77.64501309557018,
